prefecture,year,population,capital,region,estimated_area,island
Aichi-ken,1872.1667,1210368,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1873,1217444,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1874,1217521,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1875,1234003,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1876,1244711,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1877,1250839,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1878,1267206,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1879,1295452,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1880,1303812,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1881,1317792,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1882,1332050,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1883,1354996,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1884,1370576,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1885,1373419,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1886,1386473,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1886.9167,1404106,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1887.9167,1429486,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1888.9167,1444011,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1889.9167,1456294,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1890.9167,1473099,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1891.9167,1483744,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1892.9167,1497791,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1893.9167,1512420,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1894.9167,1529349,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1895.9167,1553447,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1896.9167,1577320,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1897.9167,1592733,Nagoya-shi,Chubu,5165.12,Honshu
