,Price,Make,Model,Year,Mileage,Fuel Type,Body Type,Engine Size (Litres),Power
2,26950.0,KIA,Sportage,2019,96560.4,Diesel,SUV,1.6,115.0
3,12690.0,Volkswagen,Golf,2013,96560.4,Petrol,Hatchback,1.4,122.0
4,12250.0,Volkswagen,Golf,2013,125000.0,Petrol,Hatchback,1.2,85.0
5,12950.0,Volkswagen,Golf,2013,102000.0,Petrol,Estate,1.2,105.0
6,14995.0,Nissan,Qashqai,2016,159750.0,Diesel,Hatchback,1.5,110.0
7,6950.0,Vauxhall,Insignia,2012,6950.0,Diesel,Hatchback,2.0,
8,52544.0,Audi,A3,2022,16.0,Hybrid,Hatchback,1.4,
9,10750.0,Toyota,Vitz,2015,,Petrol,Hatchback,1.0,68.0
10,5500.0,SEAT,Leon,2012,221000.0,Diesel,Hatchback,1.6,105.0
11,10950.0,Opel,Insignia,2016,167922.0,Diesel,Saloon,1.6,136.0
13,11995.0,Skoda,Fabia,2017,89298.0,Petrol,Hatchback,1.0,60.0
14,,Skoda,Octavia,2018,94364.0,Diesel,Saloon,1.6,90.0
15,14850.0,Audi,A4,2014,177415.0,Diesel,Saloon,2.0,120.0
16,11999.0,Audi,A5,2011,154496.64,Diesel,Hatchback,2.0,143.0
17,14650.0,Volkswagen,Passat,2015,154300.0,Diesel,Saloon,1.6,120.0
18,11450.0,Volkswagen,Polo,2016,120701.0,Petrol,Hatchback,1.0,60.0
19,11000.0,Volkswagen,Polo,2013,105001.0,Petrol,Hatchback,1.2,60.0
20,3250.0,Mazda,3,2010,217260.9,Diesel,Saloon,1.6,
21,27253.0,Dacia,Jogger,2022,0.0,Petrol,Crossover,1.0,110.0
22,10000.0,Renault,Master,2018,270000.0,Diesel,Van,2.3,
23,22000.0,KIA,Ceed,2020,52303.55,Diesel,Estate,1.6,115.0
24,40000.0,BMW,M3,1986,,Petrol,Coupe,2.3,
25,5250.0,Citroen,Berlingo,2010,,Diesel,MPV,1.6,
26,8950.0,Hyundai,Santa Fe,2013,318649.32,Diesel,SUV,2.2,197.0
27,17500.0,Nissan,Juke,2018,103001.0,Petrol,MPV,1.6,94.0
29,16500.0,BMW,3-Series,2013,136793.9,Diesel,Saloon,2.0,184.0
30,10040.0,Ford,Transit Courier,2018,64639.1411,Diesel,Van,1.5,
32,67140.0,Mazda,CX-60,2023,2.0,Hybrid,SUV,2.5,
34,7995.0,Dacia,Sandero,2014,128925.8367,Diesel,Hatchback,1.5,90.0
35,11495.0,Peugeot,208,2016,86698.0,Petrol,Hatchback,1.2,82.0
36,18000.0,Ford,Fiesta,2018,25000.0,Petrol,Hatchback,1.1,70.0
37,27845.0,Renault,Kadjar,2020,31582.0,Diesel,SUV,1.5,115.0
38,15995.0,Audi,A6,2014,326696.02,Diesel,Saloon,2.0,190.0
39,14950.0,Audi,A5,2014,273587.8,Diesel,Coupe,2.0,177.0
40,9950.0,Nissan,Note,2014,69660.0,Petrol,Hatchback,1.2,98.0
